rho_bins,bin,rat,event
0.00796799371607909,2.0375,rat15,shuff
0.0068300233691154,2.1375,rat15,shuff
0.0139339678340966,2.2375,rat15,shuff
0.0211803882508078,2.3375,rat15,shuff
0.0170792325386741,2.4375,rat15,shuff
0.00441289562024904,2.5375,rat15,shuff
-0.00417769265349076,2.6375,rat15,shuff
-0.00635206309642764,2.7375,rat15,shuff
-0.0230614063826059,2.8375,rat15,shuff
-0.0218950748067879,2.9375,rat15,shuff
-0.0175503215731521,3.0375,rat15,shuff
-0.0191088804881321,3.1375,rat15,shuff
-0.0332143153731091,3.2375,rat15,shuff
-0.0449341116835249,3.3375,rat15,shuff
-0.0507097595538031,3.4375,rat15,shuff
-0.0464015719265684,3.5375,rat15,shuff
-0.0521507224959377,3.6375,rat15,shuff
-0.0437145238218093,3.7375,rat15,shuff
-0.0364115668666108,3.8375,rat15,shuff
-0.0390959532282923,3.9375,rat15,shuff
-0.0403944951455839,4.0375,rat15,shuff
-0.0491118478455519,4.1375,rat15,shuff
-0.0388019656299219,4.2375,rat15,shuff
-0.0356669295182862,4.3375,rat15,shuff
-0.0451476600381765,4.4375,rat15,shuff
-0.0523949959517633,4.5375,rat15,shuff
